MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
F1ITO01_CL2_CL1,CF,,BF1ITO01,F1ITO01_CL2,ITO 成膜线 Pre-ITO清洗
C1CCL01_CC1_CL3,CELL,,BC1PIL01,C1CCL01_CC1,Cleaner #3
C1DUM01,CELL,GC1INS01,BC1SIP01,,PP-Case Packer/Unpacker 1#
C1REP01,CELL,GC1INS01,BC1PIL01,,TFT Repair 1#
C1REP01_LD1,CELL,,BC1PIL01,C1REP01,Index
C1REP01_LD1_RT1,CELL,,BC1PIL01,C1REP01_LD1,Robot
C1REP01_RP1,CELL,,BC1PIL01,C1REP01,Repair Machine
C1REP01_RP1_RP1,CELL,,BC1PIL01,C1REP01_RP1,Repair Stage
F1MCR05_MM1_ST1,CF,,BF1INS01,F1MCR05_MM1,MCR设备 5#MCR_MACRO/MICRO
F1MCR05_MM1_ST2,CF,,BF1INS01,F1MCR05_MM1,MCR设备 5#MCR Stage
F1REP07,CF,GF1INS01,BF1INS01,,激光修复设备Repair 7#
F1REP07_LD1,CF,,BF1INS01,F1REP07,修复设备Repair 7#Index
F1REP07_LD1_RT1,CF,,BF1INS01,F1REP07_LD1,修复设备Repair 7#IndexRobot
F1ITO01_LD2_RT1,CF,,BF1ITO01,F1ITO01_LD2,ITO 成膜线 Index 2#
C1STK01,CELL,GC1STK01,BC1STK01,,
C1DUM01_LD1,CELL,,BC1SIP01,C1DUM01,Index
C1STK03,CELL,GC1STK01,BC1STK01,,
C1STK02,CELL,GC1STK01,BC1STK01,,
C1AGV01,CELL,GC1STK01,BC1STK01,,
C1AGV02,CELL,GC1STK01,BC1STK01,,
C1SOR01_LD1,CELL,,BC1ODF01,C1SOR01,Index
C1SOR01_LD1_ST1,CELL,,BC1ODF01,C1SOR01_LD1,Stage
C1DUM01_PK1,CELL,,BC1SIP01,C1DUM01,PPBOX PACKER & UNPACKER
C1DUM01_LD1_ST1,CELL,,BC1SIP01,C1DUM01_LD1,Glass stage
C1DUM01_PK1_CY1,CELL,,BC1SIP01,C1DUM01_PK1,PPBOX Loading & Unloading C/V
F1ITO01_IR1_IR1,CF,,BF1ITO01,F1ITO01_IR1,ITO 成膜线 IR/AC
F1ITO01_SP1_ST1,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Stage 1#
F1ITO01_SP1_ST2,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Stage 2#
F1ITO01_SP1_RT1,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Robot
F1ITO01_SP1_SH1,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Shuttle Stock 1#
F1ITO01_SP1_SH2,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Shuttle Stock 2#
F1ITO01_SP1_SH3,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Shuttle Stock 3#
F1ITO01_SP1_SH4,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Shuttle Stock 4#
F1ITO01_SP1_BF1,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter Shuttle Stock Buffer
F1ITO01_SP1_SP1,CF,,BF1ITO01,F1ITO01_SP1,ITO 成膜线 ITO Sputter
F1ITO01_LD3_RT1,CF,,BF1ITO01,F1ITO01_LD3,ITO 成膜线 Index 3#Robot
F1ITO01_LD3_CY1,CF,,BF1ITO01,F1ITO01_LD3,ITO 成膜线 Index 3#Through C/V
F1ITO01_CL3_CL1,CF,,BF1ITO01,F1ITO01_CL3,ITO 成膜线 Post-ITO清洗
F1ITO01_OV1_OV1,CF,,BF1ITO01,F1ITO01_OV1,ITO 成膜线 Anneal Oven 1#
F1ITO01_OV1_OV2,CF,,BF1ITO01,F1ITO01_OV1,ITO 成膜线 Anneal Oven 2#
F1ITO01_OV1_RT1,CF,,BF1ITO01,F1ITO01_OV1,ITO 成膜线 Anneal Oven Robot
F1ITO01_OV1_BF1,CF,,BF1ITO01,F1ITO01_OV1,ITO 成膜线 Anneal Oven Cooling Buffer
F1ITO01_OV1_CY1,CF,,BF1ITO01,F1ITO01_OV1,ITO 成膜线 Anneal Oven C/V
F1ITO01_AI1_AI1,CF,,BF1ITO01,F1ITO01_AI1,ITO 成膜线 AOI检测
A1CVD03_CV1,ARRAY,,BA1CVD01,A1CVD03,CVD 设备
F1TTP01,CF,GF1INS01,BF1INS02,,TTP检测设备
F1TTP01_LD1,CF,,BF1INS02,F1TTP01,TTP检测设备Index
F1TTP01_TP1,CF,,BF1INS02,F1TTP01,TTP检测设备Total Pitch
F1TTP01_TP1_BF1,CF,,BF1INS02,F1TTP01_TP1,TTP检测设备Upside Buffer
F1TTP01_TP1_ST1,CF,,BF1INS02,F1TTP01_TP1,TTP检测设备stages
F1AOI01,CF,GF1INS01,BF1INS02,,自动光学检测设备1#
A1CVD03_CV1_CHA,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式A
A1CVD03_CV1_RT1,ARRAY,,BA1CVD01,A1CVD03_CV1,Indexer Robot
A1CVD03_CV1_LL1,ARRAY,,BA1CVD01,A1CVD03_CV1,Load Lock
A1CVD03_CV1_CHB,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式B
A1CVD03_CV1_CHC,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式C
A1CVD03_CV1_CHD,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式D
A1CVD03_CV1_CHE,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式E
A1CVD03_CV1_CHF,ARRAY,,BA1CVD01,A1CVD03_CV1,腔式F
F1REP01,CF,GF1INS01,BF1INS02,,激光修复设备Repair 1#
F1REP01_LD1,CF,,BF1INS02,F1REP01,修复设备Repair 1# Index
F1REP01_RP1,CF,,BF1INS02,F1REP01,修复设备Repair 1# REP Machine
F1REP01_RP1_ST1,CF,,BF1INS02,F1REP01_RP1,修复设备Repair 1# REP Machine Stage 1#
A1PHT01_AI1_AI1,ARRAY,,BA1PHT01,A1PHT01_AI1,AOI
A1DUH01,ARRAY,GA1INS01,BA1INS01,,超显微动态硬度计
A1SE001,ARRAY,GA1INS01,BA1INS01,,椭偏仪
A1LCM01,ARRAY,GA1INS01,BA1INS01,,液晶离子浓度测试仪
A1TCB01,ARRAY,GA1INS01,BA1INS01,,温控箱
A1MGM01,ARRAY,GA1INS01,BA1INS01,,金相显微镜
A1MTEG1,ARRAY,GA1INS01,BA1INS01,,手动TEG
A1SEM01,ARRAY,GA1INS01,BA1INS01,,扫描式电子显微镜
A1REP06,ARRAY,GA1INS01,BA1INS01,,激光修复机
A1REP07,ARRAY,GA1INS01,BA1INS01,,激光修复机
A1ETC01_ET1_AK1,ARRAY,,BA1ETS03,A1ETC01_ET1,A/K
A1ETC01_ET1_CY8,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 5#
A1ETC01_ET1_CY9,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 6#
A1ETC01_ET1_CYA,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 7#
A1ETC01_ET1_CYB,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 8#
A1ETC01_ET1_CYC,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 9#
A1ETC01_ET1_CYD,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 10#
A1ETC01_ET1_CYE,ARRAY,,BA1ETS03,A1ETC01_ET1,UPPER CV 11#
A1ETC01_ET1_RT2,ARRAY,,BA1ETS03,A1ETC01_ET1,Robot
A1PHT02_EX1_EX1,ARRAY,,BA1PHT01,A1PHT02_EX1,Exposure
A1PHT01_EX1_EX1,ARRAY,,BA1PHT01,A1PHT01_EX1,Exposure
A1PHT02_LD1,ARRAY,,BA1PHT01,A1PHT02,Index
A1ANN03_OV1_PT3,ARRAY,,BA1INS04,A1ANN03_OV1,Port 3#
A1ANN03_OV1_PT4,ARRAY,,BA1INS04,A1ANN03_OV1,Port 4#
A1PHT02_CL1,ARRAY,,BA1PHT01,A1PHT02,Cleaner
A1PHT02_DV1,ARRAY,,BA1PHT01,A1PHT02,Develop Machine
A1PCL06_CL1_PT1,ARRAY,,BA1INS03,A1PCL06_CL1,Port 1#
A1PHT02_CT1,ARRAY,,BA1PHT01,A1PHT02,Coater
A1PCL06_CL1_PT2,ARRAY,,BA1INS03,A1PCL06_CL1,Port 2#
A1PCL06_CL1_PT3,ARRAY,,BA1INS03,A1PCL06_CL1,Port 3#
A1PHT02_LD1_RT1,ARRAY,,BA1PHT01,A1PHT02_LD1,index Robot
A1PCL06_CL1_PT4,ARRAY,,BA1INS03,A1PCL06_CL1,Port 4#
A1PCL06_CL1_BR1,ARRAY,,BA1INS03,A1PCL06_CL1,DETERGENT BRUSH
A1PCL06_CL1_RT1,ARRAY,,BA1INS03,A1PCL06_CL1,Index Robot
A1PCL06_CL1_CY1,ARRAY,,BA1INS03,A1PCL06_CL1,EV CV
A1PCL06_CL1_AP1,ARRAY,,BA1INS03,A1PCL06_CL1,APP
A1PCL06_CL1_CY2,ARRAY,,BA1INS03,A1PCL06_CL1,NEUTRAL
A1PCL06_CL1_CL1,ARRAY,,BA1INS03,A1PCL06_CL1,SHOWER+CJ
A1PCL06_CL1_CY3,ARRAY,,BA1INS03,A1PCL06_CL1,WET CV(1)
A1PCL06_CL1_CY4,ARRAY,,BA1INS03,A1PCL06_CL1,WET CV(2/3)
A1PCL06_CL1_CY5,ARRAY,,BA1INS03,A1PCL06_CL1,WET CV(4)
A1PCL06_CL1_CY6,ARRAY,,BA1INS03,A1PCL06_CL1,MS
A1PCL06_CL1_CH1,ARRAY,,BA1INS03,A1PCL06_CL1,DRYING Chamber
F1REP06_LD1_RT1,CF,,BF1INS01,F1REP06_LD1,修复设备Repair 6#IndexRobot
F1REP06_RP1_ST1,CF,,BF1INS01,F1REP06_RP1,修复设备Repair 6#REP Stages 1#
F1REP06_RP1_ST2,CF,,BF1INS01,F1REP06_RP1,修复设备Repair 6#REP Stages 2#
A1PCL07,ARRAY,GA1PCL01,BA1ETS02,,前清洗设备 7#
F1MCR05,CF,GF1INS01,BF1INS01,,宏观+微观检测设备 5#
F1MCR05_LD1,CF,,BF1INS01,F1MCR05,MCR设备 5#Index
F1MCR05_MM1,CF,,BF1INS01,F1MCR05,MCR设备 5#MCR
F1MCR05_LD1_RT1,CF,,BF1INS01,F1MCR05_LD1,MCR设备 5#IndexRobot
F1REP07_RP1,CF,,BF1INS01,F1REP07,修复设备Repair 7#REP
F1REP07_RP1_ST1,CF,,BF1INS01,F1REP07_RP1,修复设备Repair 7#REP Stage 1#
F1CSL01,CF,GF1CSL01,BF1CSL01,,CS线
F1CSL01_LD1,CF,,BF1CSL01,F1CSL01,Index
F1CSL01_UV1,CF,,BF1CSL01,F1CSL01,UV
F1CSL01_CL1,CF,,BF1CSL01,F1CSL01,Cleaner 
F1CSL01_BK1,CF,,BF1CSL01,F1CSL01,Hard_Bake
F1CSL01_CT1,CF,,BF1CSL01,F1CSL01,Coater
F1CSL01_BK2,CF,,BF1CSL01,F1CSL01,Pre-Bake预固化
F1CSL01_TM1,CF,,BF1CSL01,F1CSL01,CS线 Transfer 1#
F1CSL01_TM2,CF,,BF1CSL01,F1CSL01,CS线 Transfer 2#
F1CSL01_EX1,CF,,BF1CSL01,F1CSL01,Exposure
F1CSL01_DV1,CF,,BF1CSL01,F1CSL01,CS线 显影
F1CSL01_AI1,CF,,BF1CSL01,F1CSL01,AOI检测
F1CSL01_OV1,CF,,BF1CSL01,F1CSL01,OVEN
F1CSL01_LD1_RT1,CF,,BF1CSL01,F1CSL01_LD1,IndexRobot
F1CSL01_UV1_UV1,CF,,BF1CSL01,F1CSL01_UV1,Glass in /Glass out
F1CSL01_CL1_CL1,CF,,BF1CSL01,F1CSL01_CL1,Glass in /Glass out
F1OCL01_CV1,CF,,BF1OCL01,F1OCL01,CV
F1EXP01_LD1_LD1,CF,,BF1RGB01,F1EXP01_LD1,Robot
F1EXP01_LD1,CF,,BF1RGB01,F1EXP01,Index
F1EXP01_EX1,CF,,BF1RGB01,F1EXP01,Exposure
A1PHT12_TL1,ARRAY,,BA1PHT02,A1PHT12,TL
A1PHT12_TL1_TL1,ARRAY,,BA1PHT02,A1PHT12_TL1,TL
A1PHT12_BF1,ARRAY,,BA1PHT02,A1PHT12,Buffer
A1PHT12_BF1_BF1,ARRAY,,BA1PHT02,A1PHT12_BF1,Buffer
F1EXP01_EX1_EX1,CF,,BF1RGB01,F1EXP01_EX1,Exposure
A1PHT12_DV1_OV1,ARRAY,,BA1PHT02,A1PHT12_DV1,AHP(5-2)
F1EXP02_LD1,CF,,BF1RGB01,F1EXP02,CF曝光设备 Exposure 2# Index
F1EXP02_EX1,CF,,BF1RGB01,F1EXP02,CF曝光设备 Exposure 2# Exposure
F1EXP02_LD1_RT1,CF,,BF1RGB01,F1EXP02_LD1,CF曝光设备 Exposure 2# Index Robot
F1EXP02_EX1_EX1,CF,,BF1RGB01,F1EXP02_EX1,CF曝光设备 Exposure 2# Exposure
F1EXP03_LD1,CF,,BF1RGB01,F1EXP03,CF曝光设备 Exposure 3#Index
F1EXP03_EX1,CF,,BF1RGB01,F1EXP03,CF曝光设备 Exposure 3#Exposure
F1EXP03_LD1_RT1,CF,,BF1RGB01,F1EXP03_LD1,CF曝光设备 Exposure 3#IndexRobot
F1EXP03_LD1_ST1,CF,,BF1RGB01,F1EXP03_LD1,CF曝光设备 Exposure 3#IndexStage 1#
F1EXP03_LD1_ST2,CF,,BF1RGB01,F1EXP03_LD1,CF曝光设备 Exposure 3#IndexStage 2#
F1OCL01_CV1_CV1,CF,,BF1OCL01,F1OCL01_CV1,CV
C1ODF03_CR1,CELL,,BC1ODF01,C1ODF03,Pre_Cure
A1PHT12_DV1_OV2,ARRAY,,BA1PHT02,A1PHT12_DV1,AHP(5-3)
A1PHT12_DV1_OV3,ARRAY,,BA1PHT02,A1PHT12_DV1,TS COL(5-4)
A1PHT12_DV1_OV4,ARRAY,,BA1PHT02,A1PHT12_DV1,AHP(5-5)
F1EXP03_EX1_EX1,CF,,BF1RGB01,F1EXP03_EX1,CF曝光设备 Exposure 3#Exposure
A1PHT12_DV1_OV5,ARRAY,,BA1PHT02,A1PHT12_DV1,AHP(5-6)
F1EXP03_EX1_MK1,CF,,BF1RGB01,F1EXP03_EX1,CF曝光设备 Exposure 3#ExposureMask
A1PHT12_DV1_OV6,ARRAY,,BA1PHT02,A1PHT12_DV1,COOL(5-7)
C1ODF03_LI1,CELL,,BC1ODF01,C1ODF03,LC_DSP
A1PHT12_DV1_BF1,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-8)
A1PHT12_DV1_BF2,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-9)
A1PHT12_DV1_BF3,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-10)
F1EXP04_LD1,CF,,BF1RGB01,F1EXP04,CF曝光设备 Exposure 4#Index
A1PHT12_DV1_BF4,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-11)
A1PHT12_DV1_BF5,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-12)
F1EXP04_EX1,CF,,BF1RGB01,F1EXP04,CF曝光设备 Exposure 4#Exposure
A1PHT12_DV1_BF6,ARRAY,,BA1PHT02,A1PHT12_DV1,PSTAGE(5-13)
A1PHT12_DV1_IN1,ARRAY,,BA1PHT02,A1PHT12_DV1,Inspection（5-14）
C1ODF01_LD2_PT1,CELL,,BC1ODF01,C1ODF01_LD2,In Port#4
C1ODF01_LD2_PT2,CELL,,BC1ODF01,C1ODF01_LD2,In Port#5
C1ODF01_LD2_PT3,CELL,,BC1ODF01,C1ODF01_LD2,In Port#6
C1ODF03_LD2,CELL,Y,BC1ODF01,C1ODF03,CF Loader
C1ODF01_LD1_PT1,CELL,,BC1ODF01,C1ODF01_LD1,In Port#1
F1EXP04_LD1_RT1,CF,,BF1RGB01,F1EXP04_LD1,CF曝光设备 Exposure 4#IndexRobot
C1ODF03_CL2,CELL,,BC1ODF01,C1ODF03,CF_Cleaner
C1ODF01_LD1_PT2,CELL,,BC1ODF01,C1ODF01_LD1,In Port#2
F1EXP04_LD1_ST1,CF,,BF1RGB01,F1EXP04_LD1,CF曝光设备 Exposure 4#IndexStages 1#
F1EXP04_LD1_ST2,CF,,BF1RGB01,F1EXP04_LD1,CF曝光设备 Exposure 4#IndexStages 2#
F1EXP04_EX1_EX1,CF,,BF1RGB01,F1EXP04_EX1,CF曝光设备 Exposure 4#Exposure
F1EXP04_EX1_MK1,CF,,BF1RGB01,F1EXP04_EX1,CF曝光设备 Exposure 4#ExposureMask
F1EXP05_LD1,CF,,BF1RGB01,F1EXP05,CF曝光设备 Exposure 5#Index
F1EXP05_EX1,CF,,BF1RGB01,F1EXP05,CF曝光设备 Exposure 5#Exposure
F1EXP05_LD1_RT1,CF,,BF1RGB01,F1EXP05_LD1,CF曝光设备 Exposure 5#IndexRobot
F1EXP05_LD1_ST1,CF,,BF1RGB01,F1EXP05_LD1,CF曝光设备 Exposure 5#IndexStages 1#
F1EXP05_LD1_ST2,CF,,BF1RGB01,F1EXP05_LD1,CF曝光设备 Exposure 5#IndexStages 2#
F1EXP05_EX1_EX1,CF,,BF1RGB01,F1EXP05_EX1,CF曝光设备 Exposure 5#Exposure
F1EXP05_EX1_MK1,CF,,BF1RGB01,F1EXP05_EX1,CF曝光设备 Exposure 5#ExposureMask
F1EXP06_LD1,CF,,BF1RGB01,F1EXP06,CF曝光设备 Exposure 6#Index
F1EXP06_EX1,CF,,BF1RGB01,F1EXP06,CF曝光设备 Exposure 6#Exposure
F1EXP06_LD1_RT1,CF,,BF1RGB01,F1EXP06_LD1,CF曝光设备 Exposure 6#IndexRobot
C1ODF01_LD1_PT3,CELL,,BC1ODF01,C1ODF01_LD1,In Port#3
A1DRE08_DE2,ARRAY,,BA1DRE02,A1DRE08,Chamber 2#
F1EXP06_LD1_ST1,CF,,BF1RGB01,F1EXP06_LD1,CF曝光设备 Exposure 6#IndexStages 1#
F1EXP06_LD1_ST2,CF,,BF1RGB01,F1EXP06_LD1,CF曝光设备 Exposure 6#IndexStages 2#
F1EXP06_EX1_EX1,CF,,BF1RGB01,F1EXP06_EX1,CF曝光设备 Exposure 6#Exposure
F1EXP06_EX1_MK1,CF,,BF1RGB01,F1EXP06_EX1,CF曝光设备 Exposure 6#ExposureMask
F1REP02,CF,GF1INS01,BF1INS01,,激光修复设备Repair 2#
F1REP02_LD1,CF,,BF1INS01,F1REP02,修复设备Repair 2#Index
F1REP02_RP1,CF,,BF1INS01,F1REP02,修复设备Repair 2#REP
F1REP02_LD1_RT1,CF,,BF1INS01,F1REP02_LD1,修复设备Repair 2#IndexRobot
A1DRE08_DE2_CH1,ARRAY,,BA1DRE02,A1DRE08_DE2,Chamber
C1ODF02_UD1,CELL,Y,BC1ODF01,C1ODF02,Index(Unloader)
A1DRE08_DE2_RT1,ARRAY,,BA1DRE02,A1DRE08_DE2,Chamber Robot
A1DRE08_DE2_LL1,ARRAY,,BA1DRE02,A1DRE08_DE2,Load Lock
F1RGB01_LD7_LD1,CF,,BF1RGB01,F1RGB01_LD7,Index
C1ODF02_UD1_RT1,CELL,,BC1ODF01,C1ODF02_UD1,Robot
F1RGB01_RD2,CF,,BF1RGB01,F1RGB01,BMRGB线 RED
C1ODF01_CR2,CELL,,BC1ODF01,C1ODF01,Main Cure
F1RGB01_RD2_OV1,CF,,BF1RGB01,F1RGB01_RD2,CF RGB线 RED_Oven
F1RGB01_RD2_AI1,CF,,BF1RGB01,F1RGB01_RD2,CF RGB线 RED_AOI
C1ODF01_CR2_CR2,CELL,,BC1ODF01,C1ODF01_CR2,UV Cure 2#
F1RGB01_RD2_DV1,CF,,BF1RGB01,F1RGB01_RD2,CF RGB线 RED_DEV
C1ODF01_AC1,CELL,Y,BC1ODF01,C1ODF01,Align Checker
C1ODF01_TM3,CELL,Y,BC1ODF01,C1ODF01,Transfer
C1ODF01_AC1_AC1,CELL,,BC1ODF01,C1ODF01_AC1,Align Check
C1ODF01_UV2,CELL,Y,BC1ODF01,C1ODF01,UV 2
C1ODF01_UD1,CELL,Y,BC1ODF01,C1ODF01,Index (Unloader)
C1ODF01_CK1,CELL,,BC1ODF01,C1ODF01,View Check
C1ODF01_AC2,CELL,,BC1ODF01,C1ODF01,Align Checker
C1ODF01_UD1_RT1,CELL,,BC1ODF01,C1ODF01_UD1,Robot
F1EXP01,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 1#
A1ETS01_ES1_PT1,ARRAY,,BA1ETS01,A1ETS01_ES1,Port 1#
F1EXP02,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 2#
F1EXP03,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 3#
F1EXP04,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 4#
F1EXP05,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 5#
A1ETS01_ES1_PT2,ARRAY,,BA1ETS01,A1ETS01_ES1,Port 2#
F1EXP06,CF,GF1EXP01,BF1RGB01,,CF曝光设备 Exposure 6#
A1ETS01_ES1_PT3,ARRAY,,BA1ETS01,A1ETS01_ES1,Port 3#
A1ETS01_ES1_PT4,ARRAY,,BA1ETS01,A1ETS01_ES1,Port 4#
A1ETS01_ES1_RT5,ARRAY,,BA1ETS01,A1ETS01_ES1,Index Robot
A1ETS01_ES1_CV1,ARRAY,,BA1ETS01,A1ETS01_ES1,EV CV
A1ETS01_ES1_CV2,ARRAY,,BA1ETS01,A1ETS01_ES1,NCV2
C1ODF03_CL1,CELL,,BC1ODF01,C1ODF03,TFT_Cleaner
C1ODF03_SS1,CELL,Y,BC1ODF01,C1ODF03,Spacer_Spray
C1ODF03_LD1_RT1,CELL,,BC1ODF01,C1ODF03_LD1,Robot
A1PHT03_LD1,ARRAY,,BA1PHT01,A1PHT03,Index
A1PHT03_LD1_RT1,ARRAY,,BA1PHT01,A1PHT03_LD1,index Robot
A1PHT03_AI1,ARRAY,,BA1PHT01,A1PHT03,AOI
A1DRE06_DE2,ARRAY,,BA1DRE03,A1DRE06,Chamber 2#
A1DRE06_DE2_RT1,ARRAY,,BA1DRE03,A1DRE06_DE2,Chamber  Robot
A1DRE06_DE2_CH1,ARRAY,,BA1DRE03,A1DRE06_DE2,Chamber
A1DRE06_LD1_PT1,ARRAY,,BA1DRE03,A1DRE06_LD1,Port 1#
A1DRE06_LD1_PT2,ARRAY,,BA1DRE03,A1DRE06_LD1,Port 2#
A1PHT03_CL1,ARRAY,,BA1PHT01,A1PHT03,Cleaner
A1PHT03_DV1,ARRAY,,BA1PHT01,A1PHT03,Develop
A1DRE06_LD1_PT3,ARRAY,,BA1DRE03,A1DRE06_LD1,Port 3#
A1PHT03_CT1,ARRAY,,BA1PHT01,A1PHT03,Coater
A1DRE06_LD1_PT4,ARRAY,,BA1DRE03,A1DRE06_LD1,Port 4#
A1ETS01_ES1_CV3,ARRAY,,BA1ETS01,A1ETS01_ES1,NCV3
A1ETS01_ES1_CV4,ARRAY,,BA1ETS01,A1ETS01_ES1,A/L CV
A1ETS01_ES1_ET2,ARRAY,,BA1ETS01,A1ETS01_ES1,ETCH 2#
A1ETS01_ES1_ET3,ARRAY,,BA1ETS01,A1ETS01_ES1,ETCH 3#
A1ETS01_ES1_DR3,ARRAY,,BA1ETS01,A1ETS01_ES1,Rins 3#
A1ETS01_ES1_AK1,ARRAY,,BA1ETS01,A1ETS01_ES1,A/K
A1ETS01_ES1_CV5,ARRAY,,BA1ETS01,A1ETS01_ES1,EXIT N_CV
A1ETS01_ES1_CV6,ARRAY,,BA1ETS01,A1ETS01_ES1,UTRN 1
A1ETS01_ES1_CV7,ARRAY,,BA1ETS01,A1ETS01_ES1,UTRN 2
A1ETS01_ES1_CV8,ARRAY,,BA1ETS01,A1ETS01_ES1,UTRN 3
A1ETS01_ES1_CV9,ARRAY,,BA1ETS01,A1ETS01_ES1,ENER
A1ETS01_ES1_CVA,ARRAY,,BA1ETS01,A1ETS01_ES1,NETCV
A1ETS01_ES1_SR2,ARRAY,,BA1ETS01,A1ETS01_ES1,H/S1 STRIP2
A1ETS01_ES1_SR3,ARRAY,,BA1ETS01,A1ETS01_ES1,H/S2 STRIP3
A1ETS01_ES1_SR4,ARRAY,,BA1ETS01,A1ETS01_ES1,S/S2 STRIP4
A1ETS01_ES1_DR4,ARRAY,,BA1ETS01,A1ETS01_ES1,Rinse 1#
A1ETS01_ES1_DR5,ARRAY,,BA1ETS01,A1ETS01_ES1,RINS 2
A1PCL05_CL1_PT1,ARRAY,,BA1CVD02,A1PCL05_CL1,Port 1#
A1PHT04_LD1,ARRAY,,BA1PHT01,A1PHT04,Index
A1PHT04_LD1_RT1,ARRAY,,BA1PHT01,A1PHT04_LD1,Robot 1#
A1PHT04_AI1,ARRAY,,BA1PHT01,A1PHT04,AOI
A1PHT04_AI1_AI1,ARRAY,,BA1PHT01,A1PHT04_AI1,AOI
A1PCL05_CL1_PT2,ARRAY,,BA1CVD02,A1PCL05_CL1,Port 2#
A1PCL05_CL1_PT3,ARRAY,,BA1CVD02,A1PCL05_CL1,Port 3#
A1PCL05_CL1_PT4,ARRAY,,BA1CVD02,A1PCL05_CL1,Port 4#
A1PCL05_CL1_RT1,ARRAY,,BA1CVD02,A1PCL05_CL1,Index Robot
A1PCL05_CL1_CY1,ARRAY,,BA1CVD02,A1PCL05_CL1,EV CV
A1PCL05_CL1_AP1,ARRAY,,BA1CVD02,A1PCL05_CL1,APP
A1PCL05_CL1_CY2,ARRAY,,BA1CVD02,A1PCL05_CL1,NEUTRAL
A1PHT04_CL1,ARRAY,,BA1PHT01,A1PHT04,Cleaner
A1PCL01_CL1_RT1,ARRAY,,BA1SPT01,A1PCL01_CL1,Index Robot
A1PHT04_DV1,ARRAY,,BA1PHT01,A1PHT04,Develop
A1PCL01_CL1_CV1,ARRAY,,BA1SPT01,A1PCL01_CL1,EV CV
A1PCL01_CL1_CV2,ARRAY,,BA1SPT01,A1PCL01_CL1,UP01
A1PCL01_CL1_CV3,ARRAY,,BA1SPT01,A1PCL01_CL1,UP02
A1PCL01_CL1_CV4,ARRAY,,BA1SPT01,A1PCL01_CL1,UP03
A1PCL01_CL1_AP1,ARRAY,,BA1SPT01,A1PCL01_CL1,EUV
A1PCL01_CL1_CV5,ARRAY,,BA1SPT01,A1PCL01_CL1,UP04
A1PHT04_CT1,ARRAY,,BA1PHT01,A1PHT04,Coater
A1PCL01_CL1_CV6,ARRAY,,BA1SPT01,A1PCL01_CL1,ELCV
A1PCL01_CL1_CV7,ARRAY,,BA1SPT01,A1PCL01_CL1,NEUTRAL
A1PCL01_CL1_BR1,ARRAY,,BA1SPT01,A1PCL01_CL1,BRUSH
A1PCL01_CL1_CL1,ARRAY,,BA1SPT01,A1PCL01_CL1,SHOWER+CJ
A1PCL01_CL1_CL2,ARRAY,,BA1SPT01,A1PCL01_CL1,HYPER MIX
A1PCL01_CL1_AK1,ARRAY,,BA1SPT01,A1PCL01_CL1,AIR KNIFE
A1PCL01_CL1_CV8,ARRAY,,BA1SPT01,A1PCL01_CL1,EXCV
A1PCL05_CL1_BR1,ARRAY,,BA1CVD02,A1PCL05_CL1,DETERGENT BRUSH
A1PCL05_CL1_CL1,ARRAY,,BA1CVD02,A1PCL05_CL1,SHOWER+CJ
A1PCL05_CL1_CY3,ARRAY,,BA1CVD02,A1PCL05_CL1,WET CV(1)
