MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
F1RGB01_LD4_RT2,CF,,BF1RGB01,F1RGB01_LD4,Robot 2#
A1SPT07_SP1_CS4,ARRAY,,BA1SPT01,A1SPT07_SP1,Chamber 1#
C1ODF01_CR1_CR1,CELL,,BC1ODF01,C1ODF01_CR1,Spacer Cure 1#
A1SPT07_SP1_CS3,ARRAY,,BA1SPT01,A1SPT07_SP1,Chamber 2#
A1SPT07_SP1_RT2,ARRAY,,BA1SPT01,A1SPT07_SP1,Sputter Robot
C1ODF01_LI1,CELL,,BC1ODF01,C1ODF01,LC Dispenser
A1SPT07_SP1_PT2,ARRAY,,BA1SPT01,A1SPT07_SP1,Port 2#
C1ODF01_LI1_LI1,CELL,,BC1ODF01,C1ODF01_LI1,LC Dispenser 1#
A1SPT07_SP1_PT1,ARRAY,,BA1SPT01,A1SPT07_SP1,Port 1#
A1SPT07_SP1_PT3,ARRAY,,BA1SPT01,A1SPT07_SP1,Port 3#
A1STP04_SR1_RT2,ARRAY,,BA1ETS03,A1STP04_SR1,EQ Robot
A1STP04_SR1_CYG,ARRAY,,BA1ETS03,A1STP04_SR1,A/K
C1ODF01_LD2,CELL,Y,BC1ODF01,C1ODF01,Robot
C1ODF01_LD2_RT1,CELL,,BC1ODF01,C1ODF01_LD2,CF-Loader Robot
C1ODF01_CL2,CELL,,BC1ODF01,C1ODF01,CF Cleaner
A1STP04_SR1_CYH,ARRAY,,BA1ETS03,A1STP04_SR1,N.CV1
EDAAP1-Linux,ARRAY,GA1CIM01,BA1CIM01,EDAAP1,
EDAAP2-Linux,ARRAY,GA1CIM01,BA1CIM01,EDAAP2,
A1PCL06_CL1_CY8,ARRAY,,BA1INS03,A1PCL06_CL1,EXIT CV2
C1ODF02_LD2,CELL,Y,BC1ODF01,C1ODF02,CF Indexer
C1ODF02_LD2_RT1,CELL,,BC1ODF01,C1ODF02_LD2,Robot
C1ODF02_CL2,CELL,,BC1ODF01,C1ODF02,CF Cleaner
C1ODF02_CL2_CL1,CELL,,BC1ODF01,C1ODF02_CL2,CF Clean
A1PCL06_CL1_CY9,ARRAY,,BA1INS03,A1PCL06_CL1,EXIT CV3
A1PCL06_CL1_CYA,ARRAY,,BA1INS03,A1PCL06_CL1,EXIT CV4
C1ODF02_ED1,CELL,,BC1ODF01,C1ODF02,Seal Dispenser
C1ODF02_ED1_ED1,CELL,,BC1ODF01,C1ODF02_ED1,Seal Dispenser 1#
C1ODF02_HD1,CELL,,BC1ODF01,C1ODF02,Short Dispenser
C1ODF02_HD1_HD1,CELL,,BC1ODF01,C1ODF02_HD1,Short Dispenser 1#
C1ODF02_VA1,CELL,,BC1ODF01,C1ODF02,VAS Machine
C1ODF02_VA1_VA1,CELL,,BC1ODF01,C1ODF02_VA1,VAS 1#
A1STP04_SR1_CYI,ARRAY,,BA1ETS03,A1STP04_SR1,N.CV2
A1STP04_SR1_CYJ,ARRAY,,BA1ETS03,A1STP04_SR1,EXIT.CV
RVRD Server2,ARRAY,GA1CIM01,BA1CIM01,,
RVRD Server2-HPDP,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server2-HPUX,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server2-Linux,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server2-Middle,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
C1ODF01_ED1,CELL,,BC1ODF01,C1ODF01,Seal Dispenser
RVRD Server2-Oracle,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server2-Storage,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server2-Switch,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
C1ODF01_ED1_ED1,CELL,,BC1ODF01,C1ODF01_ED1,Seal Dispenser 1#
RVRD Server2-Windows,ARRAY,GA1CIM01,BA1CIM01,RVRD Server2,
RVRD Server3,ARRAY,GA1CIM01,BA1CIM01,,
RVRD Server3-HPDP,ARRAY,,BA1CIM01,RVRD Server3,
RVRD Server3-HPUX,ARRAY,,BA1CIM01,RVRD Server3,
RVRD Server3-Linux,ARRAY,,BA1CIM01,RVRD Server3,
RVRD Server3-Middle,ARRAY,,BA1CIM01,RVRD Server3,
RVRD Server3-Oracle,ARRAY,,BA1CIM01,RVRD Server3,
C1ODF02_CR1,CELL,,BC1ODF01,C1ODF02,UV Cure
C1ODF01_HD1,CELL,,BC1ODF01,C1ODF01,Short Dispenser
RVRD Server3-Storage,ARRAY,,BA1CIM01,RVRD Server3,
RVRD Server3-Switch,ARRAY,,BA1CIM01,RVRD Server3,
C1ODF01_HD1_HD1,CELL,,BC1ODF01,C1ODF01_HD1,Short Dispenser 1#
RVRD Server3-Windows,ARRAY,,BA1CIM01,RVRD Server3,
C1ODF02_CR1_CR1,CELL,,BC1ODF01,C1ODF02_CR1,UV Cure 1#
C1ODF01_BF1,CELL,,BC1ODF01,C1ODF01,Transfer Buffer
F1OCL01_CL1_CL1,CF,,BF1OCL01,F1OCL01_CL1, Cleaner
F1OCL01_OV1,CF,,BF1OCL01,F1OCL01,Oven 
F1OCL01_UV1_UV1,CF,,BF1OCL01,F1OCL01_UV1,UV
F1MCR03_MM1_MM1,CF,,BF1INS03,F1MCR03_MM1,MACRO/MICRO
F1MCR03_LD1_PT1,CF,,BF1INS03,F1MCR03_LD1,port 1#
F1MCR03_LD1_PT2,CF,,BF1INS03,F1MCR03_LD1,port 2#
F1OCL01_CT1_CT1,CF,,BF1OCL01,F1OCL01_CT1, Coater
F1MCR03_LD1_PT3,CF,,BF1INS03,F1MCR03_LD1,port 3#
F1EXP01_LD1_RT1,CF,,BF1RGB01,F1EXP01_LD1,Robot
MESAP2-ORACLE,ARRAY,GA1CIM01,BA1CIM01,MESAP2,
MESDB1,ARRAY,GA1CIM01,BA1CIM01,,
MESDB2,ARRAY,GA1CIM01,BA1CIM01,,
F1OCL01_AI1_AI1,CF,,BF1OCL01,F1OCL01_AI1, AOI 
MCSDB1,ARRAY,GA1CIM01,BA1CIM01,,
F1OCL01_OV1_OV1,CF,,BF1OCL01,F1OCL01_OV1, Oven
MCSDB2,ARRAY,GA1CIM01,BA1CIM01,,
EDBDB2,ARRAY,GA1CIM01,BA1CIM01,,
A1ANN01_OV1_RT1,ARRAY,,BA1INS04,A1ANN01_OV1,Index Robot
EDBDB1,ARRAY,GA1CIM01,BA1CIM01,,
MCSAP1,ARRAY,GA1CIM01,BA1CIM01,,
A1ANN01_OV1_BF2,ARRAY,,BA1INS04,A1ANN01_OV1,Cool Buffer 2#
A1ANN02_LD1,ARRAY,,BA1INS04,A1ANN02,Index
A1ANN02_OV1,ARRAY,,BA1INS04,A1ANN02,退火炉设备
A1ANN02_LD1_RT1,ARRAY,,BA1INS04,A1ANN02_LD1,机械手
A1ANN02_OV1_BF1,ARRAY,,BA1INS04,A1ANN02_OV1,缓冲区
A1ANN02_OV1_RT1,ARRAY,,BA1INS04,A1ANN02_OV1,机械手
A1ANN02_OV1_OVA,ARRAY,,BA1INS04,A1ANN02_OV1,退火炉A
A1ANN02_OV1_OVB,ARRAY,,BA1INS04,A1ANN02_OV1,退火炉B
A1ANN02_OV1_BF2,ARRAY,,BA1INS04,A1ANN02_OV1,篮子缓冲区
MCSAP2,ARRAY,GA1CIM01,BA1CIM01,,
